country_iso;country_name;year;Suhu;Curah_Hujan;Kelembapan;CH4_Agriculture;CO2_Agriculture;N2O_Agriculture;CH4_Buildings;CO2_Buildings;N2O_Buildings;CH4_Transport;CO2_Transport;N2O_Transport;CH4_Waste;CO2_Waste;N2O_Waste
KH;Kamboja;2019;28,28;1566,71;72,78;23,24447064; ;2,405573165;0,681739289;1,156766944;0,081211033;0,026321419;6,311219602;0,13190543;1,163168017;0,011633718;0,184353883
KH;Kamboja;2020;27,95;1650,56;75,32;23,2247458; ;2,370659291;0,678091016;1,193799441;0,080952948;0,028094618;6,699206666;0,137306281;1,197486953;0,012001715;0,188393504
KH;Kamboja;2021;27,49;1826,42;75,87;24,53933725; ;2,464228741;0,67428798;1,219649869;0,08052423;0,028935419;6,849777226;0,141077587;1,233023272;0,012290258;0,190991502
KH;Kamboja;2022;27,5;2150,46;77,61;23,43817453; ;2,379129892;0,672323961;1,279274314;0,079694321;0,030336231;7,180812993;0,147947399;1,268596465;0,012637624;0,194531092
KH;Kamboja;2023;27,95;1935,03;77,89;23,96164876; ;2,323440499;0,672417484;1,313923636;0,079727288;0,031124014;7,364213432;0,151875715;1,303312385;0,012994809;0,198136496
LA;Laos;2013;23,1;2059,55;80,08;8,939930679; ;1,876191925;0,461290365;0,009333992;0,05574921;0,007435545;1,921608556;0,025620151;0,344028124;0,011501295;0,077489255
LA;Laos;2014;23,2;1848,2;80,21;9,322111259; ;1,913969292;0,466822221;0,009333992;0,056370722;0,007365891;2,233394722;0,029850866;0,363110449;0,011867898;0,082466063
LA;Laos;2015;23,62;1874,69;79,46;9,536436377; ;2,028498585;0,472228066;0,009333992;0,056976333;0,007182929;2,349456758;0,031334533;0,374588737;0,012251228;0,086168925
LA;Laos;2016;23,61;1900,59;79,62;9,811444528; ;2,15719285;0,467837277;0,021779318;0,056423999;0,009590767;2,987343528;0,039903382;0,384983036;0,01266383;0,087433026
LA;Laos;2017;23,42;2115,27;80,82;9,840713171; ;2,055495666;0,469359617;0,038856125;0,05670686;0,009156722;3,03617244;0,040813633;0,393909832;0,01309316;0,088768573
LA;Laos;2018;23,26;2263,24;81,02;9,47581361; ;2,093176834;0,464592897;0,039615401;0,056067174;0,008651182;3,12169029;0,041790466;0,584189235;0,013536429;0,090613199
LA;Laos;2019;24,11;1593,86;76,79;9,677910192; ;2,208288249;0,46034498;0,070598202;0,055509946;0,007495736;2,465301503;0,032056085;0,499520493;0,013985273;0,091999787
LA;Laos;2020;23,77;1747,23;78,35;10,15884011; ;2,406924526;0,458749612;0,078447987;0,055373521;0,007461352;2,44395126;0,031838501;0,506510887;0,0144383;0,093356094
LA;Laos;2021;23,4;1853,36;79,75;10,06016615; ;2,309623938;0,4541463;0,078578762;0,054754367;0,007614688;2,493228516;0,032486169;0,468768896;0,014898296;0,094683262
LA;Laos;2022;23,33;2057,21;80,71;10,05327607; ;2,354537043;0,4295104;0,082420204;0,053381935;0,007987079;2,615803777;0,034079419;0,463940294;0,015345189;0,096133309
LA;Laos;2023;24,91;1817,61;78,69;10,18848243; ;2,663086898;0,429515337;0,084652567;0,053385381;0,008203579;2,687517754;0,035008874;0,474320885;0,015805487;0,097606168
MY;Malaysia;2013;26,42;3105,57;85,52;6,577809882;1,527899942;8,343746277;0,037412016;7,665625328;0,011004087;0,399373594;58,17178372;0,616335638;9,816323415;0,062827094;0,400663111
MY;Malaysia;2014;26,43;2856,26;84,58;6,208384759;1,365833298;7,952190642;0,027323529;7,232903556;0,009836177;0,392464412;65,16489223;0,694011401;10,16532898;0,064509565;0,407801284
MY;Malaysia;2015;26,62;2693,93;84,64;6,606055435;1,126766631;7,715186013;0,016343644;6,663517139;0,066636538;0,355973062;61,2120449;0,636088483;10,36837464;0,066154399;0,413049088
MY;Malaysia;2016;27,13;2744,69;83,91;6,581398072;1,301718997;8,030365104;0,01303295;5,327786608;0,033822421;0,418342206;62,88607048;0,588185941;10,71872846;0,067687719;0,417822403
MY;Malaysia;2017;26,56;3261,51;86,09;6,538305957;1,264738052;7,981534484;0,021551339;8,407347535;0,129440278;0,396464452;60,57354065;0,54842734;10,92801564;0,069176434;0,420074317
MY;Malaysia;2018;26,56;2914,24;84,97;6,593486827;1,381547572;7,716685771;0,015181091;6,371134449;0,099645949;0,381368606;60,82956855;0,544801696;11,31354119;0,070638663;0,427337871
MY;Malaysia;2019;26,92;2526,31;83,73;6,352644879;1,377880891;7,873488015;0,015993823;6,041025952;0,073663227;0,404894923;64,78001025;0,582418258;11,50518345;0,072102287;0,439991911
MY;Malaysia;2020;26,82;3151,07;85,39;6,161004511;1,174695188;7,53323683;0,016339003;6,627066837;0,089250976;0,32575423;50,16149265;0,457283399;11,80253394;0,073585426;0,453416856
MY;Malaysia;2021;26,52;3163,03;84,97;6,176000571;1,454461883;7,279243105;0,016694023;7,006478864;0,124481126;0,308600738;49,01105572;0,460639056;12,08464351;0,07504208;0,466539946
MY;Malaysia;2022;26,48;3443,68;85,47;6,114069417;1,423159031;7,146389598;0,020041262;8,452395878;0,15026047;0,371895032;59,25850948;0,551666521;12,3785332;0,076512952;0,476283536
MY;Malaysia;2023;26,77;3167,54;84,56;6,127057098;1,399881313;7,055240622;0,022352462;9,432502378;0,167796702;0,415228046;66,34845991;0,618645764;12,6709418;0,078012654;0,486230643
MM;Myanmar;2013;24,77;2341,23;75,94;76,4459838;0,171128542;12,41763953;3,509431228;2,35682255;0,480383735;0,026944709;3,51309664;0,093407479;3,025412425;0,039689294;0,770525804
